"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"05-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","45,00,000","22.80","-"
"05-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","45,00,000","22.80","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","ALBULA INVESTMENT FUND LTD","SELL","30,24,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","ASHIBHADARSH VENTURES PRIVATE LIMITED","BUY","2,50,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","BANDHAN MUTUAL FUND ( CORE EQUITY FUND)","BUY","3,50,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","BANDHAN MUTUAL FUND(INFRASTRUCTURE FUND)","BUY","75,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","BNP PARIBAS ARBITRAGE","BUY","4,99,900","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","RAJTARU ENTERPRISES","BUY","2,01,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","RESONANCE OPPORTUNITIES FUND","BUY","2,01,100","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","SAMCO MUTUAL FUND(SAMCO DYNAMIC ASSET ALLOCATION FUND)","BUY","2,07,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","SOCIETE GENERALE","BUY","8,19,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD","BUY","2,20,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","VICTUS ENTERPRISE LLP","BUY","2,01,000","519.90","-"
"09-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","45,00,000","24.25","-"
"09-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","45,00,000","24.25","-"
"09-JAN-2024","YASHO","Yasho Industries Limited","NEUBERGER BERMAN BD LLC","BUY","95,000","1,625.00","-"
"09-JAN-2024","YASHO","Yasho Industries Limited","NISHIGANDHA POLYMERS P.LTD","SELL","95,000","1,625.00","-"
"11-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","43,50,000","24.20","-"
"11-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","43,50,000","24.20","-"
"15-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","39,00,000","26.80","-"
"15-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","39,00,000","26.80","-"
"15-JAN-2024","ZOMATO","Zomato Limited","BNP PARIBAS ARBITRAGE","BUY","12,00,000","138.15","-"
"15-JAN-2024","ZOMATO","Zomato Limited","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD","BUY","24,00,000","138.15","-"
"15-JAN-2024","ZOMATO","Zomato Limited","GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED  SHORT TERM","BUY","45,00,000","138.15","-"
"15-JAN-2024","ZOMATO","Zomato Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","39,00,000","138.15","-"
"15-JAN-2024","ZOMATO","Zomato Limited","MOTILAL OSWAL MUTUAL FUND","SELL","4,50,00,000","138.15","-"
"15-JAN-2024","ZOMATO","Zomato Limited","SOCIETE GENERALE","BUY","3,30,00,000","138.15","-"
"16-JAN-2024","SOUTHWEST","South West Pinnacle Ltd","ASSET COLUMN","SELL","6,50,000","168.00","-"
"16-JAN-2024","SOUTHWEST","South West Pinnacle Ltd","KAPUR RAJAN BRIJMOHAN","BUY","6,50,000","168.00","-"
"17-JAN-2024","JINDALSAW","Jindal Saw Limited","BNP PARIBAS ARBITRAGE","BUY","3,99,999","519.00","-"
"17-JAN-2024","JINDALSAW","Jindal Saw Limited","CRESTA FUND LTD","SELL","18,00,000","519.00","-"
"17-JAN-2024","JINDALSAW","Jindal Saw Limited","MADHUKAR SHETH","BUY","2,00,001","519.00","-"
"17-JAN-2024","JINDALSAW","Jindal Saw Limited","NIPPON INDIA MUTUAL FUND - SMALL CAP FUND","BUY","10,00,001","519.00","-"
"17-JAN-2024","JINDALSAW","Jindal Saw Limited","SOCIETE GENERALE","BUY","1,99,999","519.00","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED","BUY","30,30,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","CARNELIAN ASSET MANAGEMENT & ADVISORS PRIVATE LIMITED","BUY","2,91,500","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","CARNELIAN ASSET MANAGEMENT & ADVISORS PRIVATE LIMITED.","BUY","2,91,500","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","CITY OF NEW YORK GROUP TRUST","BUY","1,15,546","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","EMPLOYEES PROVIDENT FUND","BUY","7,00,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","FIDELITY FUNDS.¿ INDIA FOCUS FUND","BUY","30,70,947","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","FIDELITY INDIA FUND","BUY","2,02,714","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","GOLDMAN SACHS INDIA LIMITED","BUY","14,90,024","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","ICICI PRUDENTIAL MUTUAL FUND","BUY","8,75,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","ICICI PRUDENTIAL MUTUAL FUND","BUY","11,20,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","ICICI PRUDENTIAL MUTUAL FUND","BUY","17,50,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","MINDA CORPORATION LIMITED","SELL","1,83,76,431","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","ROSY BLUE SECURITIES PVT. LTD.","BUY","2,92,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","SUNDARAM ALTERNATIVE OPPORTUNITIES FUND - ACORN","BUY","3,00,000","343.50","-"
"17-JAN-2024","PRICOLLTD","Pricol Limited","TATA MUTUAL FUND","BUY","17,49,300","343.50","-"
