"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"01-JAN-2024","3IINFOLTD","3i Infotech Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","14,17,288","51.60","-"
"01-JAN-2024","3IINFOLTD","3i Infotech Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","14,17,288","51.63","-"
"01-JAN-2024","AHLADA","Ahlada Engineers Limited","QE SECURITIES LLP","BUY","1,34,100","150.10","-"
"01-JAN-2024","AHLADA","Ahlada Engineers Limited","QE SECURITIES LLP","SELL","1,34,100","149.75","-"
"01-JAN-2024","AKASH","Akash Infra-Projects Ltd","CHAUHAN TRISHUL JITUSINH","BUY","1,23,693","39.69","-"
"01-JAN-2024","AKSHAR","Akshar Spintex Limited","JR SEAMLESS PRIVATE LIMITED","BUY","16,00,000","4.20","-"
"01-JAN-2024","AKSHAR","Akshar Spintex Limited","NIKHIL RAJESH SINGH","SELL","25,86,000","4.20","-"
"01-JAN-2024","BAJEL","Bajel Projects Limited","ENAM ASSET MANAGEMENT COMPANY PRIVATE UMITED","SELL","7,21,714","126.32","-"
"01-JAN-2024","BAJEL","Bajel Projects Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","7,00,019","126.20","-"
"01-JAN-2024","BAJEL","Bajel Projects Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","10","126.20","-"
"01-JAN-2024","BANKA","Banka BioLoo Limited","MUDUPULAVEMULA SURENDRANADHA REDDY","BUY","1,22,725","112.84","-"
"01-JAN-2024","BANKA","Banka BioLoo Limited","MUDUPULAVEMULA SURENDRANADHA REDDY","SELL","1,22,725","110.91","-"
"01-JAN-2024","BIRLAMONEY","Aditya Birla Money Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","7,92,326","115.61","-"
"01-JAN-2024","BIRLAMONEY","Aditya Birla Money Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","7,92,326","115.56","-"
"01-JAN-2024","BIRLAMONEY","Aditya Birla Money Ltd","PRIYA MILAN SADARIYA","BUY","3,42,437","116.51","-"
"01-JAN-2024","BIRLAMONEY","Aditya Birla Money Ltd","PRIYA MILAN SADARIYA","SELL","3,51,118","116.65","-"
"01-JAN-2024","DCBBANK","Dcb Bank Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","18,88,361","142.43","-"
"01-JAN-2024","DCBBANK","Dcb Bank Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","18,88,361","142.73","-"
"01-JAN-2024","DELTACORP","Delta Corp Limited","HRTI PRIVATE LIMITED","BUY","13,02,607","151.54","-"
"01-JAN-2024","DELTACORP","Delta Corp Limited","HRTI PRIVATE LIMITED","SELL","13,46,258","151.55","-"
"01-JAN-2024","DREDGECORP","Dredging Corporation of I","GRAVITON RESEARCH CAPITAL LLP","BUY","1,62,474","621.35","-"
"01-JAN-2024","DREDGECORP","Dredging Corporation of I","GRAVITON RESEARCH CAPITAL LLP","SELL","1,62,474","622.03","-"
"01-JAN-2024","EFORCE","Electro Force (India) Ltd","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","1,38,000","121.50","-"
"01-JAN-2024","GANGAFORGE","Ganga Forging Limited","SMITAL SURESH THAKKAR","SELL","7,44,968","6.38","-"
"01-JAN-2024","GODHA","Godha Cabcon Insulat Ltd","ANKITA VISHAL SHAH","SELL","50,00,000","0.60","-"
"01-JAN-2024","GODHA","Godha Cabcon Insulat Ltd","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","50,00,000","0.60","-"
"01-JAN-2024","GOKUL","Gokul Refoils and Solvent","GRAVITON RESEARCH CAPITAL LLP","BUY","9,69,276","60.50","-"
"01-JAN-2024","GOKUL","Gokul Refoils and Solvent","GRAVITON RESEARCH CAPITAL LLP","SELL","9,69,276","60.68","-"
"01-JAN-2024","GSFC","Gujarat State Fert Ltd.","GRAVITON RESEARCH CAPITAL LLP","BUY","36,44,290","265.76","-"
