Ticker,Highest Sentiment,Percentage Difference in Closing Price,Block Deals,Bulk Deals
AARTIIND,Neutral,1.813174202,None,GRAVITON RESEARCH CAPITAL LLP BUY
ASHOKLEY,Neutral,0.205038079,None,None
20MICRONS,Neutral,-5.557319784,None,None
ARCHIDPLY,Positive,1.46809712,None,None
HIRECT,Neutral,0.183042905,None,None
ATALREAL,Neutral,4.672897196,None,None
CINEVISTA,Neutral,0,None,None
BTML,Neutral,-2.212885154,None,GRAVITON RESEARCH CAPITAL LLP BUY
BCLIND,Neutral,0.861450108,None,None
ADORWELD,Neutral,-1.579121242,None,None
5PAISA,Neutral,0.209244816,None,None
APOLLOHOSP,Positive,-0.090844524,BNP PARIBAS ARBITRAGE BUY,None
ARENTERP,Neutral,-3.919491525,None,None
ALPA,Neutral,2.161605764,None,None
3MINDIA,Neutral,0.517252182,None,None
DIGISPICE,Neutral,-0.848896435,None,TOUCHLINE SECURITIES PRIVATE LIMITED BUY
SALZERELEC,Neutral,8.440905929,None,None
KPIGREEN,Neutral,1.757023673,None,None
Bhagyanagar India Limited,Negative,-0.848896435,None,None
Advanced Enzyme Technologies Limited,Negative,-1.214008838,None,None
Hindustan Unilever Limited,Negative,-1.031452636,None,None
Wipro Limited,Neutral,4.672897196,SOCIETE GENERALE BUY,TOUCHLINE SECURITIES PRIVATE LIMITED BUY
