Ticker,Name,Sector,Industry,Definition
20MICRONS,20 Microns Limited,Mining,Mining,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
360ONE,360 ONE WAM LIMITED,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
3IINFOLTD,3i Infotech Limited,COMPUTERS - SOFTWARE,COMPUTERS - SOFTWARE,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
3MINDIA,3M India Limited,Diversified Commercial Services,Diversified Commercial Services,"Companies providing dredging and related
services"
5PAISA,5Paisa Capital Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
AARON,Aaron Industries Limited,INDUSTRIAL EQUIPMENT,INDUSTRIAL EQUIPMENT,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AARTIIND,Aarti Industries Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AARTIPHARM,Aarti Pharmalabs Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
AARVI,Aarvi Encon Limited,Diversified Commercial Services,Diversified Commercial Services,"Companies providing dredging and related
services"
AAVAS,Aavas Financiers Limited,Housing Finance Companies,Housing Finance Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ABB,ABB India Limited,Heavy Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ABCAPITAL,Aditya Birla Capital Limited,Holding Companies,Holding Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ABFRL,Aditya Birla Fashion and Retail Limited,Apparels & Accessories,Apparels & Accessories,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
ABMINTLLTD,ABM International Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Companies,Asset Management Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ACC,ACC Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
ACCELYA,Accelya Solutions India Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ACE,Action Construction Equipment Limited,Transport Related Services,Transport Related Services,"Companies providing dredging and related
services"
ACEINTEG,Ace Integrated Solutions Limited,Technology Services,Technology Services,"Companies providing dredging and related
services"
ACI,Archean Chemical Industries Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
