Ticker,Name,Sector
20MICRONS,20 Microns Limited,Mining
360ONE,360 ONE WAM LIMITED,Finance
3IINFOLTD,3i Infotech Limited,COMPUTERS - SOFTWARE
3MINDIA,3M India Limited,Diversified Commercial Services
5PAISA,5Paisa Capital Limited,Financial Services
AARON,Aaron Industries Limited,INDUSTRIAL EQUIPMENT
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals
AARTIIND,Aarti Industries Limited,Specialty Chemicals
AARTIPHARM,Aarti Pharmalabs Limited,Process Industries
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles
AARVI,Aarvi Encon Limited,Diversified Commercial Services
AAVAS,Aavas Financiers Limited,Housing Finance Companies
ABB,ABB India Limited,Heavy Electrical Equipment
ABCAPITAL,Aditya Birla Capital Limited,Holding Companies
ABFRL,Aditya Birla Fashion and Retail Limited,Apparels & Accessories
ABMINTLLTD,ABM International Limited,Trading Companies & Distributors
ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Companies
ACC,ACC Limited,Cement & Cement Products
ACCELYA,Accelya Solutions India Limited,IT Consulting & Application Software
ACE,Action Construction Equipment Limited,Transport Related Services
ACEINTEG,Ace Integrated Solutions Limited,Technology Services
ACI,Archean Chemical Industries Limited,Process Industries
ADANIENT,Adani Enterprises Limited,Trading Companies & Distributors
ADANIGREEN,Adani Green Energy Limited,Electric Utilities
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Marine Port & Services
ADFFOODS,ADF Foods Limited,Packaged Foods
ADORWELD,Ador Welding Limited, Industrial Goods
ADSL,Allied Digital Services Limited,IT Consulting & Application Software
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels
ADVENZYMES,Advanced Enzyme Technologies Limited,Other Agricultural Products
AEGISCHEM,Aegis Logistics Limited,LOGISTICS SOLUTION PROVIDER
AETHER,Aether Industries Limited,Process Industries
AFFLE,Affle (India) Limited,Internet Software & Services
AGARIND,Agarwal Industrial Corporation Limited,Petrochemicals
AGI,AGI Greenpac Limited,Process Industries
AGRITECH,Agri-Tech (India) Limited,Other Agricultural Products
AGROPHOS,Agro Phos India Limited,FERTILIZERS
